global_index,file_name,chunk_index,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R)
1807,Dfaraday__S1__M06_00_000,11,0.4704589703977122,0.4704589703977122,0.2488513523868413,0.24885135238684133,1.2211054563522339,1.2211054563522339,2.1244966983795166,2.1244966983795166,-0.30674733098391666,-0.30674733098391666,7.4079286416268495,7.4079286416268495,-20.44969643668692,-20.44969643668692,0.03897686081665995,0.03897686081665995,0.07256806237850727,0.07256806237850727,-7.051301630273805,-7.051301630273805
1812,Dfaraday__S1__M06_00_000,16,0.40061314123120156,0.40061314123120156,0.24724903347972702,0.24724903347972702,1.10772705078125,1.10772705078125,1.4853260517120361,1.4853260517120361,-0.39838137692698183,-0.39838137692698183,4.9894583744265315,4.9894583744265315,-28.17604906143608,-28.17604906143608,-0.03418321836079717,-0.03418321836079717,-0.023061861332475092,-0.023061861332475092,-5.103750263071765,-5.103750263071765
1818,Dfaraday__S1__M06_00_000,22,0.345649598737936,0.345649598737936,0.23717718337599802,0.23717718337599802,1.0358831882476807,1.0358831882476807,0.7265245318412781,0.7265245318412781,-2.792288832403815,-2.792288832403815,5.500908796144024,5.500908796144024,-31.43359190642532,-31.43359190642532,-0.18502107206565283,-0.18502107206565283,-0.04898920757539017,-0.04898920757539017,-13.29777575552229,-13.29777575552229
1849,Dfaraday__S1__M08_00_000,5,0.014474931096377736,0.014474931096377736,0.013325225309757062,0.013325225309756675,1.0842262506484985,1.0842262506484985,1.2251715660095215,1.2251715660095215,-2.4984980014869733,-2.4984980014869733,5.751558527655904,5.751558527655904,-36.49668656786692,-36.49668656786692,-1.336655595079346,-1.336655595079346,0.004823460945489857,0.004823460945489857,-13.197414814902551,-13.197414814902551
1859,Dfaraday__S1__M08_00_000,15,0.37912742416496,0.37912742416496,0.25928933491881007,0.2592893349188103,1.0387933254241943,1.0387933254241943,1.35175359249115,1.35175359249115,-0.4999144986823759,-0.4999144986823759,7.60055860080576,7.60055860080576,-22.019534536754538,-22.019534536754538,-0.12352022086969448,-0.12352022086969448,0.1687505751396543,0.1687505751396543,-12.266540638546754,-12.266540638546754
1868,Dfaraday__S1__M08_00_000,24,0.6169123300244874,0.6169123300244874,0.4825994421327526,0.48259944213275296,1.406038522720337,1.406038522720337,2.196012258529663,2.196012258529663,-0.18357586100310133,-0.18357586100310133,5.835873687894211,5.835873687894211,-27.132296707044823,-27.132296707044823,-0.031388092457693625,-0.031388092457693625,-0.027769896056370508,-0.027769896056370508,3.4436006071512173,3.4436006071512173
1875,Dfaraday__S1__M09_00_000,5,0.5339989706053146,0.5339989706053146,0.4048823202014414,0.40488232020144155,1.2767486572265625,1.2767486572265625,2.068843126296997,2.068843126296997,-0.31585538278675834,-0.31585538278675834,5.140522625754875,5.140522625754875,-15.29091765709836,-15.29091765709836,-0.0766370225973221,-0.0766370225973221,-0.07329821111866004,-0.07329821111866004,2.3832803856983724,2.3832803856983724
1885,Dfaraday__S1__M09_00_000,15,0.1875055806835626,0.1875055806835626,0.19422658057459963,0.19422658057459957,1.2090015411376953,1.2090015411376953,1.6867847442626953,1.6867847442626953,-0.41149389898315886,-0.41149389898315886,5.972785954466374,5.972785954466374,-21.83623778586448,-21.83623778586448,-0.21550836018317213,-0.21550836018317213,-0.12562551507638453,-0.12562551507638453,-7.631720440279221,-7.631720440279221
1927,Dfaraday__S1__M11_00_000,6,0.3975738134191703,0.3975738134191703,0.27205792189964567,0.2720579218996457,1.0419578552246094,1.0419578552246094,0.624080240726471,0.624080240726471,-1.4245201228124924,-1.4245201228124924,7.574685511699478,7.574685511699478,-33.12700759210997,-33.12700759210997,-0.1263876620657387,-0.1263876620657387,0.029445224425002848,0.029445224425002848,-12.905395328278184,-12.905395328278184
1933,Dfaraday__S1__M11_00_000,12,0.5872022450722456,0.5872022450722456,0.3158620487381915,0.3158620487381915,1.5138459205627441,1.5138459205627441,2.489868640899658,2.489868640899658,-0.4937475072390806,-0.4937475072390806,9.205514309955964,9.205514309955964,-10.565934815923887,-10.565934815923887,0.19967728035709087,0.19967728035709087,0.22263465181320277,0.22263465181320277,-1.0177488303470177,-1.0177488303470177
